,Date,Industrial_prod
4617,2019-12-21,98.37052
4618,2019-12-22,98.37052
4619,2019-12-23,98.37052
4620,2019-12-24,98.37052
4621,2019-12-25,98.37052
4622,2019-12-26,98.37052
4623,2019-12-27,98.37052
4624,2019-12-28,98.37052
4625,2019-12-29,98.37052
4626,2019-12-30,98.37052
4627,2019-12-31,98.37052
4628,2020-01-01,101.5793
4629,2020-01-02,101.5793
4630,2020-01-03,101.5793
4631,2020-01-04,101.5793
4632,2020-01-05,101.5793
4633,2020-01-06,101.5793
4634,2020-01-07,101.5793
4635,2020-01-08,101.5793
4636,2020-01-09,101.5793
4637,2020-01-10,101.5793
4638,2020-01-11,101.5793
4639,2020-01-12,101.5793
4640,2020-01-13,101.5793
4641,2020-01-14,101.5793
4642,2020-01-15,101.5793
4643,2020-01-16,101.5793
4644,2020-01-17,101.5793
4645,2020-01-18,101.5793
4646,2020-01-19,101.5793
4647,2020-01-20,101.5793
4648,2020-01-21,101.5793
4649,2020-01-22,101.5793
4650,2020-01-23,101.5793
4651,2020-01-24,101.5793
4652,2020-01-25,101.5793
4653,2020-01-26,101.5793
4654,2020-01-27,101.5793
4655,2020-01-28,101.5793
4656,2020-01-29,101.5793
4657,2020-01-30,101.5793
4658,2020-01-31,101.5793
4659,2020-02-01,102.3815
4660,2020-02-02,102.3815
4661,2020-02-03,102.3815
4662,2020-02-04,102.3815
4663,2020-02-05,102.3815
4664,2020-02-06,102.3815
4665,2020-02-07,102.3815
4666,2020-02-08,102.3815
4667,2020-02-09,102.3815
4668,2020-02-10,102.3815
4669,2020-02-11,102.3815
4670,2020-02-12,102.3815
4671,2020-02-13,102.3815
4672,2020-02-14,102.3815
4673,2020-02-15,102.3815
4674,2020-02-16,102.3815
4675,2020-02-17,102.3815
4676,2020-02-18,102.3815
4677,2020-02-19,102.3815
4678,2020-02-20,102.3815
4679,2020-02-21,102.3815
4680,2020-02-22,102.3815
4681,2020-02-23,102.3815
4682,2020-02-24,102.3815
4683,2020-02-25,102.3815
4684,2020-02-26,102.3815
4685,2020-02-27,102.3815
4686,2020-02-28,102.3815
4687,2020-02-29,102.3815
4688,2020-03-01,91.55177
4689,2020-03-02,91.55177
4690,2020-03-03,91.55177
4691,2020-03-04,91.55177
4692,2020-03-05,91.55177
4693,2020-03-06,91.55177
4694,2020-03-07,91.55177
4695,2020-03-08,91.55177
4696,2020-03-09,91.55177
4697,2020-03-10,91.55177
4698,2020-03-11,91.55177
4699,2020-03-12,91.55177
4700,2020-03-13,91.55177
4701,2020-03-14,91.55177
4702,2020-03-15,91.55177
4703,2020-03-16,91.55177
4704,2020-03-17,91.55177
